ejecucion_id,conversacion_pk,turno_idx,monto,moneda,estado_promesa,numero_cuotas,fecha_pago,evidence_text_260
2,2744,5,207.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"En este caso, el importe que usted ha accedido es un importe mínimo de 207. Al día de hoy, nos nosotros le podríamos reactivar ese importe, pero solamente por hoy, por cierre de mes, ya que es el último día del mes, para que usted solamente liquide con 207. Si"
2,2738,12,93.00,,COMPROMETIDA_SIN_FECHA,,,En 1 93. Mi domicilio de Alondra.
2,2737,21,4180.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"No tiene la tarjeta en físico. Igual, una vez que usted confirme que puede realizar la cancelación de esos 4 180, se le envía el documento con el importe a cancelar. Se le envía la ficha técnica que ahí le aparece el nombre completo, el número DNI y el número "
2,2732,5,35.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"área de validación de datos de Financiero. El día de hoy nos encontramos actualizando el sistema informativo. ¿Podría, por favor, informarme si mantiene activo su correo electrónico Quito 0 4 9 1 arroba Gmail punto com? Sí. Ya. Adicional al 9 35, 0 8 3 3 7 5, "
2,2723,9,5000.00,,COMPROMETIDA_SIN_FECHA,,,"Sí, no, el de adelante. Lo que yo estoy empezando es conseguir ese dinero, 5000 y tantas y pagarlo, no. Con mi posibilidad, estoy juntando"
2,2689,9,2140.00,,COMPROMETIDA_SIN_FECHA,,,"Quiero juntar el dinero de los 2140, porque me dice la señorita anterior para pagarles eso."
2,2684,11,800.00,,COMPROMETIDA_SIN_FECHA,,,"Tiene más de 800 Yo me comunico al número de me comunico al número de WhatsApp, señor."
2,2679,32,9850.00,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,2,,"Y lo que. ¿Qué sucede? Cuando se le cuando se le solicite un descuento adicional a la financiera, hay que tiene que cumplir con unos parámetros. ¿Ya? Y no hacemos nada en en yo indicarle, sí, que con 5000 va a liquidar cuando no cumple con con el porcentaje mí"
2,2676,6,800.00,,COMPROMETIDA_SIN_FECHA,,,"Ah, ya, ya, no, ya les dije eso. Tengo 800 nomás para poder cancelar."
2,2674,5,1077.00,,COMPROMETIDA_SIN_FECHA,,,"Verifico que mantiene una deuda por un importe de 1077. Se le brindó la alternativa de poder liquidarlo con un importe menor de 366. ¿Por qué motivo no pudo llegar a un acuerdo de pago, señor Héctor?"
2,2664,4,5641.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Buenos días, señor Uber Carvajal. ¿Qué tal? ¿Cómo está? Le saluda Darío Lano, del estudio C R Abogados, por encargo de financiera O. Lo estaba llamando para hacerle recordatorio del pago hoy día de los 850, para realizar la liquidación de la deuda que tiene de"
2,2662,5,2307.00,,COMPROMETIDA_SIN_FECHA,,,"Ya hace 2 años. Sé que verifico que la deuda es el año del 2024, tiene 606 días de atraso. En este caso, estimado, se le podría llevar una solicitud para poder llegar a un acuerdo de pago con un importe de 2307. ¿Podría usted solicitar el apoyo de algún famili"
2,2645,14,246.00,,COMPROMETIDA_CON_FECHA,,2025-05-03,"Ok. En todo caso, le vamos a generar su compromiso por 246, que sería la primera cuota que estaría cancelando el día mañana, ¿correcto?"
2,2634,5,19197.00,,COMPROMETIDA_SIN_FECHA,,,"Le saluda Claudia Mendoza, me comunico por encargo de Financiera. Ya. Estimado, me comunico referente a la deuda que mantiene por un importe de 19197. Se le brindó la alternativa de poder liquidarlo con 2997. ¿Por qué motivo no pudo llegar a un acuerdo de pago"
2,2630,5,1100.00,,COMPROMETIDA_SIN_FECHA,,,"Qué extraño, estimado. Bueno, en todo caso vamos a validar la información, porque lo que tengo que hacer en el sistema es otra información. ¿Ok? Ya nos volvemos a comunicar con usted, igual indicarle que la deuda no está quedando congelada, y el importe de cam"
2,2625,8,226.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"es de 378, y el día de hoy se le los beneficios para que pueda hacer el abono de 226 folios."
2,2618,6,500.00,,COMPROMETIDA_SIN_FECHA,,,"Los 500. Ahora, estimada, en este caso, ya el"
2,2613,19,31.00,,COMPROMETIDA_CON_FECHA,,2025-05-03,"Claro. A ver, en todo caso, como le acabo de mencionar, este yo sí podría ayudarle y elevar esa propuesta hasta, a más tardar, hasta el día de mañana, y el pago se estaría realizando a a lo mucho al día sábado, 31. ¿No podría qué"
2,2607,7,29.00,,COMPROMETIDA_SIN_FECHA,,,"El señor Héctor, estamos 29"
2,2604,8,1900.00,,COMPROMETIDA_SIN_FECHA,,,"Intereses, intereses y todo. Ese 1900 es por los intereses que se me ha sumado, no son por los gastos que yo he hecho. Antes de que se me sume ese, yo he llamado para pagar cual a mí no me han dado solución. No me vengan a cobrar ahorita, que se me ha subido l"
2,2579,8,29.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Pero hoy es 29 estimada. Ya estamos Sí,"
2,2575,1,220.00,,COMPROMETIDA_CON_FECHA,,2025-05-02,"Así me me hace a mí. Buenos días. ¿Aló? Buenos días, señor Lino. ¿Qué tal? ¿Cómo estás? Buenas tardes, buenas tardes. Abogado por encargo de financiera hoy. Ajá. Lo estamos llamando para poderle brindar una alternativa de pago y poder llegar a un acuerdo. Prev"
2,2567,50,8849.00,,COMPROMETIDA_SIN_FECHA,,,"adicional extra al que ya se le ha brindado, que sería poder liquidar con 8849. Si no"
2,2565,8,13258.00,,COMPROMETIDA_SIN_FECHA,,,"Sí, señor Joseph, le saluda Claudia Mendoza, me comunico por encargo de Financiera OH!. Es referente a la deuda que mantiene por un importe de 13258, lo cual se le brindó la alternativa de liquidarlo con un importe menor de 1130. ¿Por qué motivo no pudo llegar"
2,2564,3,20783.00,,COMPROMETIDA_SIN_FECHA,,,"Sí, señora Yesenia, me comunico por encargo de Financiera o referente a la deuda que mantiene por un importe de 20783. Se le brindó la alternativa de liquidarlo con un importe menor de 9070 folios. ¿Por qué motivo no pudo llegar a un acuerdo de pago?"
2,2563,5,1270.00,,COMPROMETIDA_SIN_FECHA,,,"tiene. Efectivamente, señora señor Cristian, usted tiene una deuda con más de 3 años de mora, el importe se le ha elevado por encima de los 3332. A pesar de eso, la financiera le ha habilitado un descuento, puede liquidar esa deuda con 1270. Realizando este pa"
