conversacion_pk,turno_idx,monto,moneda,numero_cuotas,fecha_pago,estado_promesa,evidence_text_250
3078,10,1630.00,,,,COMPROMETIDA_SIN_FECHA,"Porque es precisamente por los intereses generados, estimada, ya tiene casi 2 años de mora, pero a pesar de eso le están haciendo un cuento. Puede liquidar esa deuda con solamente 1630. Realizando ese pago único, se estaría desvinculando de la financ"
3077,2,1000.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Ya le dije, señorita, que no tengo esa cantidad ni con la mora ni con nada. No me quieren bajar el sueldo el el monto. ¿Yo por qué les voy a pagar, pues? Pero ellos que que ellos quieren ganar, ganar, porque yo acabé de pagar esa deuda. Solamente que"
3076,2,2023.00,PEN,,2025-05-15,COMPROMETIDA_CON_FECHA,"Te puedo agendar, sí, para el 15 de este mes, que tengo un proyecto. ¿Le puedo llamar, por favor, para cancelarlo?"
3075,5,1246.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"Correcto, estimado. Mire, en ese caso estoy visualizando que la deuda total asciende ya a 1246 soles. Verifico que, en ese caso, usted tiene la posibilidad de poder llegar a un acuerdo de pago para liquidar únicamente con el importe de 520 soles. ¿Es"
3074,20,150.00,,,2025-05-03,COMPROMETIDA_CON_FECHA,"Por eso, pues mañana me acerco a Plaza Vea, al al que esté más cercano, y deposito y con la tarjeta y pago los 150."
3070,3,3013.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Estimado, estamos llamando para poder brindarle las campañas con liquidación con descuento, con la finalidad de que usted pueda cancelar con financiera y desvincularse, asimismo evitar que su deuda sea transferido. Comento que a la fecha usted tiene "
3069,19,150.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Correcto. El pago es directamente en cualquier caja de Plaza Vea o Eshle o agente interbank. En ese caso, usted me confirma, estimado Heriberto, yo procedo a hacer el registro correspondiente aquí en el sistema, se le estaría proporcionando lo que es"
3068,13,290.00,,,,COMPROMETIDA_SIN_FECHA,"¿Cuánto era el el importe que tenía que cancelar, estimado?"
3066,13,2977.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"señor Carlos, escúcheme lo que le voy a brindar como información. Es importante que usted pueda darle solución a su situación. Yo puedo que usted haya solicitado el préstamo o el crédito para un tercero, pero la entidad considera que la persona repre"
3065,12,168.00,PEN,2,2025-05-03,COMPROMETIDA_CON_FECHA,"todo caso, señora Francisca, ya estoy verificando que usted lleva siendo perjudicada en el sistema financiero, 794 días. Tiene usted de demora. Ahora, esto, como le digo, le viene perjudicando ya bastante tiempo. Lo que podríamos hacer en todo caso e"
