conversation_id,prev_turno_idx,prev_fase,curr_turno_idx,curr_fase,speaker,txt
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,19,OFERTA_PAGO,AGENTE,"Ya. Le voy a hacer una propuesta, las preguntas, y como le indico, voy a ser transparente con usted, necesito el mismo nivel de agencia. Yo puedo solicitar, pero sí necesito que usted pudiera indicarm"
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,22,OFERTA_PAGO,CLIENTE,Sí.
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,23,OFERTA_PAGO,AGENTE,"Entonces, vamos a trabajar sobre la base del fraccionamiento. Y le comento, en caso de concretarse el acuerdo en la llamada, llamada. Le voy a explicar los pasos, Financiera o le brinda a usted un doc"
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,24,OFERTA_PAGO,CLIENTE,"Ya, señorita."
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,25,OFERTA_PAGO,AGENTE,"Entonces, mire, hablemos, usted me está indicando que su esposo juntando la la vivienda de la familia y que usted hace ventas a través de catálogos de productos. Mire, puedo hacer una solicitud. Podrí"
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,26,OFERTA_PAGO,CLIENTE,"Claro, ya. Usted me dice, puede ser una sola cuota, 5000 y tantos, creo. ¿No?"
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,27,OFERTA_PAGO,AGENTE,10000. Solicitarla con 5000 soles.
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,28,OFERTA_PAGO,CLIENTE,"Ya. O los fraccionamientos por 9 meses pagando 800 tantos. 888, 8 soles. 888. ¿Y usted me puede volver a llamar? Mi esposo lleva como a las 3, ahorita él está trabajando, no no voy a poder comunicarme"
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,29,OFERTA_PAGO,AGENTE,"si quiere tome nota, por favor, del número, señora Angelina, con el cual se puede comunicar conmigo a través de la mensajería de WhatsApp, para que usted me confirme que ya ha podido conversar con su "
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,30,OFERTA_PAGO,CLIENTE,"Ya, señorita, Delbit, tenía acá lo anoto."
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,31,OFERTA_PAGO,AGENTE,Ya. 9 3 1.
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,36,OFERTA_PAGO,CLIENTE,9 6 8.
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,37,OFERTA_PAGO,AGENTE,"Ya. Mi nombre es Miriam Palacios, del estudio jurídico, seré abogado, señorita Leticia. Ya, me comunico de por el caso considerado, considérelo si tiene una propuesta distinta, podríamos conversar ¿Có"
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,38,OFERTA_PAGO,CLIENTE,"Ya, señorita, gracias."
SANDBOX_EJ3__20250502-082046_988869565_FOHCASTI_mpalaciosc_44402424_CE33-all-_mp3cut.net_.txt,16,CONSULTA_ACEPTACION,39,OFERTA_PAGO,AGENTE,"Un placer, señorita Yelina. Que tenga muy buenos días. Hasta luego."
SANDBOX_EJ3__20250502-082112_973853549_FOHCASTI_tolanop_41224192_CE05-all-_mp3cut.net_.txt,21,FORMALIZACION_PAGO,22,OFERTA_PAGO,AGENTE,"¿No la tiene? Igual, una vez que usted confirme que sí, que va a acceder al beneficio, se le envía toda la documentación. El compromiso de pago, el documento con el importe a cancelar. Si bien lo va a"
SANDBOX_EJ3__20250502-082112_973853549_FOHCASTI_tolanop_41224192_CE05-all-_mp3cut.net_.txt,21,FORMALIZACION_PAGO,23,OFERTA_PAGO,CLIENTE,"Señorita, deme, pues, este, voy a voy a tratar, digamos, porque a mí cuando en realidad no trabaja, este, en ciudad, sino en Mina, ¿no? Y esa cuestión de de Energético, ¿no? Y ojalá que pueda, porque "
SANDBOX_EJ3__20250502-082112_973853549_FOHCASTI_tolanop_41224192_CE05-all-_mp3cut.net_.txt,21,FORMALIZACION_PAGO,24,OFERTA_PAGO,AGENTE,"La llamada. Igual, señor Carlos, por el WhatsApp, yo le voy a enviar la información por el WhatsApp. Ya una vez que se le envíe la información, usted me confirme. ¿Correcto? Ya. Recibió la información"
SANDBOX_EJ3__20250502-082112_973853549_FOHCASTI_tolanop_41224192_CE05-all-_mp3cut.net_.txt,21,FORMALIZACION_PAGO,28,OFERTA_PAGO,AGENTE,"En cualquier caja registradora de Plaza Vea, eso se paga en Plaza Vea, se paga en un agente interbank incluso, si usted tiene el aplicativo del Interbank, también lo puede pagar por el aplicativo del "
SANDBOX_EJ3__20250502-082112_973853549_FOHCASTI_tolanop_41224192_CE05-all-_mp3cut.net_.txt,21,FORMALIZACION_PAGO,29,OFERTA_PAGO,CLIENTE,¿De la tarjeta?
SANDBOX_EJ3__20250502-082112_973853549_FOHCASTI_tolanop_41224192_CE05-all-_mp3cut.net_.txt,21,FORMALIZACION_PAGO,30,OFERTA_PAGO,AGENTE,"De la tarjeta. Aunque usted no la tenga en físico, va para esa cuenta, no va a pagar ninguna otra cuenta. Incluso, en el Interbank, cuando usted entre en el aplicativo del Interbank, le va a ir pidien"
SANDBOX_EJ3__20250502-082112_973853549_FOHCASTI_tolanop_41224192_CE05-all-_mp3cut.net_.txt,21,FORMALIZACION_PAGO,31,OFERTA_PAGO,CLIENTE,"Ya. Déjeme, entonces, un mañana me podría llamar, yo iría al coordino con mi hijo, ¿no? Ojalá que me pueda dar. ¿Con quién tengo el gusto?"
SANDBOX_EJ3__20250502-083207_968264448_FOHCASTI_avelasquezm_80111263_CE10-all-_mp3cut.net_.txt,17,FORMALIZACION_PAGO,19,OFERTA_PAGO,AGENTE,8 4 de 623 años.
SANDBOX_EJ3__20250502-083207_968264448_FOHCASTI_avelasquezm_80111263_CE10-all-_mp3cut.net_.txt,17,FORMALIZACION_PAGO,21,OFERTA_PAGO,AGENTE,"Comprendo, estimado. Bueno, el el beneficio que se le está brindando y las facilidades solo están disponibles hasta el 5 de mayo del presente mes. En caso contrario de no llegar a ningún acuerdo estim"
