ejecucion_id,conversacion_pk,turno_idx,estado_promesa,numero_cuotas,fecha_pago,evidence_text_260
2,2755,10,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"Entiendo. En todo caso, de todas maneras, voy a proceder a enviarle un App para que usted me confirme por ese medio en todo caso y me envíe la fotografía del comprobante de pago. ¿Sí? Porque ya en estos momentos Sí, porque estamos llamando nosotros del área de"
2,2753,8,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"Porque en Plaza Vea Plaza Vea recibe los pagos hasta las 7 y media, 8 por ahí. Pero igual ¿De la fecha? Sí, trate de cancelar antes de la de la tarde, para que no corre el riesgo de que no entre claro, de que no entre en el día. Porque hoy es el último día del"
2,2751,8,PENDIENTE_MONTO,,,"Estoy diciendo, no hay solución acá porque ya no hay cerrar las puertas en los bancos. No puedo ni sacar ni un sol, porque estoy en confort. Ya no se preocupe. ¿Y usted quiere que les pague? ¿Cómo le voy a pagar si estoy cerrada"
2,2747,5,PENDIENTE_MONTO_CON_FECHA,,2025-05-03,"No, yo ahorita no he podido, señorita. No, no, no he podido, estuve un mal alcance. Ajá. Estoy para para mañana, para mañana, creo que estoy esperando el depósito a mí de, ¿no? Que me pagan ahí. Yo te estoy esperando el depósito, pero todavía no todavía no han"
2,2745,4,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"Sí, acaba de salir, señorita. Lo que pasa es que ayer justamente había salido a a, como él vende agua por Vidón, había salido a dejar, este, unas aguas y le ha parado la policía. Y a raíz de eso, lo han intervenido su su furgones, lo habían llevado al depósito"
2,2722,16,PENDIENTE_MONTO,,,"A mí no me interesa, efectivamente, del abogado, de la presidencia, no me interesa no pagar. Porque ustedes son unos días, yo no voy a pagar."
2,2718,6,PENDIENTE_MONTO,,,"Ok, si es que se estaría, porque si es que usted cancelado este mes estaría al día en el mes de mayo, pero si cancela la próxima semana antes de que haga el pago, igual me escribe o me dice o me indica, este, señorita, por favor llámeme y yo la llamo para pode"
2,2707,9,PENDIENTE_MONTO_CON_FECHA,,2025-06-15,"Familiar o alguien que le pueda apoyar para hacerle la primera cuota, y luego ya la siguiente cuota la puede cancelar, como le indicaba, hasta el 15 de junio."
2,2690,7,PENDIENTE_MONTO,,,"Ah, bueno, porque simplemente porque yo he estado pagando mi tarjeta normal, pero de momento otro me prácticamente me cortaron la línea, no me dejaron trabajar más con la tarjeta, sin que yo haya tenido una deuda. Entonces, yo decidí, no, no les voy a pagar ya"
2,2661,6,PENDIENTE_MONTO,,,"Señor Genaro, anteriormente se han tratado de comunicar con usted para llegar a una conciliación con respecto a su deuda. ¿Por qué no ha podido cancelar?"
2,2657,10,PENDIENTE_MONTO,,,"O sea, no hay ningún problema, porque de repente consigo el otro mes, todavía no sé, y si es así, yo voy a me acerco a cancelar."
2,2649,7,PENDIENTE_MONTO,,,"Con usted. ¿Usted me puede escribir al WhatsApp, por favor, al WhatsApp y yo para poder, este, al WhatsApp me dice, compromiso de pago, el monto, por favor, que quisiera saber, porque"
2,2623,1,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"Siempre Aló. Aló. ¿Qué tal? Buenos días. Buenas tardes, señora Murik Estrada. Sí. Tal, señora Muri? Le saluda Inés Alcalá, del estudio jurídico Sierra, abogado, la estoy llamando por encargo financiera o Ya. Sí, dígame. Sí, señora Muri, yo anteriormente me he "
2,2619,8,PENDIENTE_MONTO,,,"Sí, como te decía, yo todavía para fines de junio y julio voy a tener un dinerito que voy a poder comenzar son mis o con la gente, la que debo. Pero antes no, me van a estar llamándome, nomás yo recibo las llamadas que les estoy comunicando, pero, sí, hasta es"
2,2611,4,PENDIENTE_MONTO,,,"tal? Rocío, te saluda Ricardo Casas, del estudio jurídico de ser de abogados, por encargo de Financiera OH!. Nos a comunicar contigo, Rocío, referente. ¿No? A la cuenta que se está manteniendo pendiente, estamos tratando de poder brindarte un beneficio. ¿No? C"
