ejecucion_id,5
total,122
con_monto,104
sin_monto,18

by_estado
estado_promesa,cantidad
COMPROMETIDA_CON_FECHA,50
COMPROMETIDA_SIN_FECHA,48
PENDIENTE_MONTO,13
COMPROMETIDA_EN_CUOTAS_SIN_FECHA,6
PENDIENTE_MONTO_CON_FECHA,5

muestra_sin_monto
conversacion_pk,turno_idx,monto,moneda,numero_cuotas,fecha_pago,estado_promesa,evidence_text
3064,11,,,,,PENDIENTE_MONTO,"Le hago enviar, entonces, un mensaje por WhatsApp y usted nos confirma a la hora que está libre para nosotros comunicarnos, ¿de acuerdo?"
3056,5,,,,2025-05-02,PENDIENTE_MONTO_CON_FECHA,"Señora Kathy, mire, en este caso, únicamente podríamos habilitarlo hasta el día de hoy, debido a que ya nos acaba de llegar el reporte por incumplimiento de compromiso de pago. En todo caso, sí, si usted me confirma hasta el día de hoy, antes de mediodía podría yo solicitar la reprogramación."
3020,8,,,,,PENDIENTE_MONTO,"Sí, igual lo voy a pagar, pero ahorita no cuento con qué dinero."
3017,3,,,,2025-05-02,PENDIENTE_MONTO_CON_FECHA,"Estimado, buenas tardes. Le saluda Mercy Paiva, asesora de SA Rebogados por encargo de financiero. El motivo de mi llamada es porque ya hemos tenido contacto anteriormente y me indicó que en el mes de abril le estaba haciendo imposible poder cancelar el importe que se le ha brindado. Que para el mes de mayo íbamos a contar con su pago. Mi consulta es, ¿estaríamos contando con su pago para el día de hoy?"
3002,12,,,,,PENDIENTE_MONTO,"Señor Collazos, pero, ¿qué está haciendo para conseguir la manera de cancelar?"
2994,5,,,2,,PENDIENTE_MONTO,"realizado ningún pago. Sí validamos que el mes de marzo realizó 2 realizó el pago de las 2 cuotas, pero esa cuota corre al final, no es que no cancela un mes 2 cuotas y luego de ahí un mes deja de cancelar, no, tiene que cancelar cada mes las cuotas correspondientes. En este"
2992,6,,,,,PENDIENTE_MONTO,"que eso, ¿verdad? Yo contesto todas las llamadas, ¿no? El tema está, puede solucionar, ¿no? En verdad, creo que todo es un tema de compromiso, ¿no? Y eso, y lo entiendo perfectamente también. Con Banamex ya. Mire. Por eso es que justo está hablando con, no sé con qué señorita está hablando los jóvenes, no sé, pero me estaba escribiendo por mensaje, por WhatsApp."
2982,2,,,,,PENDIENTE_MONTO,"Señorita, por amor a dios, de verdad, no tengo tiempo de ir a la tienda o a pedir mi carta de no adeudo. Dicen que lo van a actualizar, todos ustedes me llaman me dan un WhatsApp, les envío la constancia de pago y me siguen llamando. Ajá. Nosotros le Verifique, por favor."
2974,7,,,,,PENDIENTE_MONTO,"Claro, lo que pasa, señor Elisván, que ya son 3 años que mantiene la deuda. En todo caso, si usted no se encuentra en una zona donde haya un sitio para que pueda cancelar, puede hacerlo de manera virtual a través del aplicativo de Interbank o un libre Samsung."
2970,12,,,,,PENDIENTE_MONTO,"No tengo, señorita, ahorita, no tengo ahorita que están haciendo gastos en mí, y ya también ellos también tienen su familia. En este momento, no todo todo cuando ya me sano, poder pagar aunque sea poco en poco, no no digo con eso que no lo voy a pagar, lo voy a pagar, pero quiero sanarme, señorita, para yo poder trabajar ahorita, estando así, no puedo. Estoy con la mano roto, a costear roto, no puedo, estoy todo ingresado."
2966,8,,,,,PENDIENTE_MONTO,"Sí, en todo caso, procedemos a a a contactarnos por WhatsApp con usted para poder conversar. Estamos en comunicación. Buenos días."
2961,1,,,2,2025-05-03,PENDIENTE_MONTO_CON_FECHA,"¿Aló? ¿Aló? Señora Oliva, ¿se cortó la llamada? Me parece. Sí, sí, sí Ya, así como le estaba comentando, voy a proceder en estos momentos a enviar esa solicitud de fraccionamiento en base a este importe capital, a este, perdón, a este importe del beneficio para que usted pueda cancelarlo en la modalidad de 2 cuotas, fraccionamiento 2 cuotas, ¿no? En este caso, ya ni bien yo obtenga la respuesta, me estoy contactando con usted para poder confirmarle e inmediatamente poder enviarle el documento de"
2957,12,,,,2025-05-02,PENDIENTE_MONTO_CON_FECHA,"Sí, por favor. Sí, hoy día, hoy día lo voy a cancelar y la la última la estaría realizando fines de mayo."
2951,13,,,2,2025-05-30,PENDIENTE_MONTO_CON_FECHA,"estás diciendo está bien. Lo que pasa es que yo te digo, yo te voy a decir, ¿sabes qué? Tal día empieza a pagar, te voy a te voy a fallar un mes, 2 meses, te voy a fallar, porque no me alcanza a pagar otro más. ¿Este este este mes que este este mes termina este 30 o el 30 o de repente antes lo termino de pagar? Y empiezo a pagar ustedes, les empiezo a pagar ustedes a tener un acuerdo para poder, este, poder cancelar esta deuda."
2949,9,,,,,PENDIENTE_MONTO,"No, no, no, no, no, no, no, no, no, voy a voy a pagar nomás, voy a pagar lo que Ya, ya. Llámeme la próxima semana, por favor. ¿Ya? No se preocupe, no me está hablando de eso. Lo voy a cancelar todo."
2948,2,,,,,PENDIENTE_MONTO,"Hola, buenos días. Señor Ya lo buenos días, señorita. Señor Orlando Dígame. Le habla Lina Palacios, del estudio jurídico, CR abogados. Me estoy comunicando con usted en relación a su convenio financiero logró usted realizar el pago el día de ayer, como el día"
2947,4,,,,,PENDIENTE_MONTO,"El motivo es dinero, señorita. El dinero no hay para cancelar."
2940,8,,,,,PENDIENTE_MONTO,"porque me me me demoraría, porque, mira, yo tengo previsto ya cancelarlo este mes."
