tok_norm	n	example_turno_pk	example_text
s├¡ d├¡game	36	25216	S├¡, d├¡game.
c├ímbiate a movistar y disfruta de la nueva red m├│vil llamando al 0 811 800	17	25621	C├ímbiate a Movistar y disfruta de la nueva red m├│vil, llamando al 0 811 800.
ya d├¡game	12	32332	Ya, d├¡game.
s├¡ de parte	10	34028	S├¡, ┬┐de parte?
s├¡ buenas	8	26895	┬┐S├¡? Buenas
s├¡ se├▒orita	7	35762	S├¡, se├▒orita.
s├¡ diga	6	38041	S├¡, diga.
no se├▒orita	5	32597	No, se├▒orita.
d├¡game	5	26137	┬┐D├¡game?
siempre	4	25056	Siempre
ya est├í bien est├í bien	4	27446	Ya, est├í bien, est├í bien,
hello	4	30749	┬┐Hello?
s├¡ la escucho	4	31436	┬┐S├¡ la escucho?
s├¡ con ella	4	35064	S├¡, con ella.
ya no	4	27349	Ya no
no no	4	32256	No, no.
9 7	4	28081	9 7.
s├¡ qu├® tal	3	44704	S├¡. ┬┐Qu├® tal?
de parte de	3	27976	┬┐De parte de
ya ya ya ya	3	36575	Ya, ya, ya, ya,
ya en todo caso	3	39120	Ya, en todo caso.
disculpe	3	43793	┬┐Disculpe?
c├│mo	3	46606	┬┐C├│mo?
qu├® tal	3	29443	┬┐Qu├® tal?
ya ya se├▒orita	3	40846	Ya, ya, se├▒orita.
no	3	30536	No.
s├¡ s├¡ se├▒orita	3	44749	S├¡, s├¡, se├▒orita.
ya y	3	26030	Ya ┬┐Y
s├¡ s├¡ s├¡ s├¡	3	34410	s├¡, s├¡, s├¡, s├¡,
s├¡ as├¡ es	3	35269	S├¡, as├¡ es.
buenos	3	46043	Buenos
ah ya ya	3	36206	Ah, ya, ya
s├¡ s├¡ la escucho	3	26389	S├¡, s├¡, la escucho.
ya est├í bien	3	28871	Ya, est├í bien.
bueno	3	38852	┬┐Bueno?
d├¡game d├¡game	3	26698	D├¡game, d├¡game.
ya es	3	37535	Ya Es
ya 9 3 1	3	31786	Ya, 9 3 1.
ya se├▒orita	3	44040	Ya, se├▒orita.
el	3	27223	┬┐El
s├¡ pero	2	27985	S├¡, pero
s├¡ lo escucho lo escucho	2	37649	S├¡, lo escucho, lo escucho.
s├¡ lo escucho	2	36654	S├¡, lo escucho.
ya no hay problema	2	32697	Ya, no hay problema.
s├¡ est├í bien	2	25243	S├¡, est├í bien.
ya ya	2	31404	┬┐Ya? Ya.
ah ok	2	25317	Ah, ok.
ok est├í bien	2	31040	Ok, est├í bien.
ahora s├¡	2	30700	Ahora s├¡.
y ya	2	28766	Y ya.
pero usted me acaba de confirmar que es el se├▒or vicente	2	50981	┬┐Pero usted me acaba de confirmar que es el se├▒or Vicente?
ya ah├¡	2	31271	Ya ah├¡.
d├¡game por favor	2	28606	D├¡game, por favor.
a ver	2	34990	A ver,
ya s├¡	2	41693	Ya. ┬┐S├¡?
s├¡ d├¡game d├¡game	2	29336	S├¡, d├¡game, d├¡game.
diga	2	31563	Diga.
