turno_pk,conv_pk,turno_idx,conversacion_id,text,fase,fase_conf,fase_source,prev_fase,next_fase
25668,1094,2,20250513-101102_949879892_FOHCASTI_tolanop_CBHOLD-all-_mp3cut.net_.txt,"Sí, sí.",,,,NOISE,APERTURA
25753,1098,9,20250513-102441_995167840_FOHCASTI_jgarciac_07537061_INCALL-all-_mp3cut.net_.txt,"Por favor, ¿me podría indicar el código de reclamo, si fuera tan amable, para poder No",,,,EXPOSICION_DEUDA,
25754,1098,10,20250513-102441_995167840_FOHCASTI_jgarciac_07537061_INCALL-all-_mp3cut.net_.txt,"no no estoy no estoy en mi casa, estoy trabajando. Yo llego en la noche recién a mi casa.",,,,,NEGOCIACION_ACUERDO
25973,1105,9,20250513-113520_927148889_FOHCASTI_ialcalal_41247073_INCALL-all-_mp3cut.net_.txt,"no tiene tiempo tampoco de la próxima semana que ya tenga más tiempo, iré.",,,,APERTURA,
25974,1105,10,20250513-113520_927148889_FOHCASTI_ialcalal_41247073_INCALL-all-_mp3cut.net_.txt,¿Y cuál es su?,,,,,
25975,1105,11,20250513-113520_927148889_FOHCASTI_ialcalal_41247073_INCALL-all-_mp3cut.net_.txt,"Ay, 236.",,,,,NEGOCIACION_ACUERDO
26075,1109,11,20250513-114500_945798807_FOHCASTI_lsotelom_CE38-all-_mp3cut.net_.txt,"Y en todo caso, estimada, para nosotros poder enviar el reporte a la financiera. ¿Cómo es que usted actualmente se sustenta, disculpe?",,,,VALIDACION_IDENTIDAD,NEGOCIACION_ACUERDO
26412,1127,9,20250513-142606_920661202_FOHCASTI_mpaivan_00250560_CE31-all-_mp3cut.net_.txt,"Mire, yo veo su celular que han estado llamando, que han estado, sí, él él ha estado, él le dio alzamer, hace 2 años, le dio al 6, me respuesta muy mal, estuvo en la tarde y ahí falleció, lo hemos apuntado ayer, señorita.",,,,VALIDACION_IDENTIDAD,FORMALIZACION_PAGO
26499,1130,30,20250513-143302_938444444_FOHCASTI_ellanosc_42352446_CE38-all-_mp3cut.net_.txt,"Oh, ya, ya,",,,,APERTURA,
26500,1130,31,20250513-143302_938444444_FOHCASTI_ellanosc_42352446_CE38-all-_mp3cut.net_.txt,"ya estamos. Todavía tengo hasta el viernes, ya me dijo, pues. ¿No? ¿O no?",,,,,
26501,1130,32,20250513-143302_938444444_FOHCASTI_ellanosc_42352446_CE38-all-_mp3cut.net_.txt,"Pero yo necesito, claro, una respuesta concreta para poder habilitar y subir en el sistema.",,,,,NEGOCIACION_ACUERDO
26677,1134,43,20250513-150114_988386947_FOHCASTI_ialcalal_INCALL-all-_mp3cut.net_.txt,"La la mitad, la mitad, la mitad, como me estás dando la opción, la mitad, 600 600.",,,,FORMALIZACION_PAGO,
26678,1134,44,20250513-150114_988386947_FOHCASTI_ialcalal_INCALL-all-_mp3cut.net_.txt,"Ya. Este, ¿está seguro que va a cancelar el día 15, señor Néstor?",,,,,FORMALIZACION_PAGO
26742,1136,11,20250513-151105_948404207_FOHCASTI_jgarciac_09611612_CE38-all-_mp3cut.net_.txt,"¿con cuánto dispone para ver de qué manera se le puede apoyar,",,,,NEGOCIACION_ACUERDO,
26743,1136,12,20250513-151105_948404207_FOHCASTI_jgarciac_09611612_CE38-all-_mp3cut.net_.txt,señor Luis? Lo que se quiere es tratar de conciliar.,,,,,NEGOCIACION_ACUERDO
26904,1145,12,20250513-154614_931347047_FOHCASTI_tolanop_AA-all-_mp3cut.net_.txt,"Sí, buenas. Este, sí.",,,,APERTURA,
26905,1145,13,20250513-154614_931347047_FOHCASTI_tolanop_AA-all-_mp3cut.net_.txt,"Esto, dígame, este,",,,,,NEGOCIACION_ACUERDO
27030,1148,15,20250513-155615_922373843_FOHCASTI_ellanosc_47719683_CE21-all-_mp3cut.net_.txt,Claro. ¿Recuerda el nombre de la asesora estimada que le ha estado indicando que le mande la?,,,,NEGOCIACION_ACUERDO,
27031,1148,16,20250513-155615_922373843_FOHCASTI_ellanosc_47719683_CE21-all-_mp3cut.net_.txt,"Es Roxana Guamán. Roxana Guamán. Ok, estimado. Igualmente,",,,,,EXPOSICION_DEUDA
27170,1151,14,20250513-165433_936880425_FOHCASTI_kmontesm_CE05-all-_mp3cut.net_.txt,Dígame.,,,,ADVERTENCIAS,
27171,1151,15,20250513-165433_936880425_FOHCASTI_kmontesm_CE05-all-_mp3cut.net_.txt,"Me mandaron un correo hace tiempo y y la verdad que cambié de número de celular, por eso que ya no pude contactarme con con usted.",,,,,
27172,1151,16,20250513-165433_936880425_FOHCASTI_kmontesm_CE05-all-_mp3cut.net_.txt,"Caso que le indicaba el correo, señor Monjes.",,,,,
27173,1151,17,20250513-165433_936880425_FOHCASTI_kmontesm_CE05-all-_mp3cut.net_.txt,"Que había un pago, pues, ya de algo de 1000, joven, de salud.",,,,,
27174,1151,18,20250513-165433_936880425_FOHCASTI_kmontesm_CE05-all-_mp3cut.net_.txt,"Sí, actualmente tiene un beneficio, señor Monje, usted puede liquidar toda la deuda con un importe de 1224 3.",,,,,EXPOSICION_DEUDA
27279,1157,17,20250513-173448_966636143_FOHCASTI_cmendozav_08599351_CE38-all-_mp3cut.net_.txt,"sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí, sí,",,,,NEGOCIACION_ACUERDO,
